Name,Address,City,Region,Country
31st Street Pub,3101 Penn Avenue,Pittsburgh,Pennsylvania,USA
32 Bleu,32 S. Tejon Street,Colorado Springs,Colorado,USA
328 Performance Hall,328 Fourth Avenue S,Nashville,Tennessee,USA
3Com Park,490 Jamestown Avenue,San Francisco,California,USA
40 Watt Club (5),285 W. Washington Street,Athens,Georgia,USA
400 Bar,400 Cedar Avenue,Minneapolis,Minnesota,USA
404 Willis,404 W. Willis Street,Detroit,Michigan,USA
46th St. Theater,4515 New Utrecht Avenue,Brooklyn,New York,USA
4th Street Fair,Fourth Street @ Holden,Detroit,Michigan,USA
606 Horseshoe Lounge,606 W. Adams Street,Detroit,Michigan,USA
688 Club,688 Spring Street NW,Atlanta,Georgia,USA
7 Brothers,11821 Jos. Campau Avenue,Hamtramck,Michigan,USA
701 Club,701 N. Second Street,Stevens Point,Wisconsin,USA
7th City,1486 Gratiot Avenue,Detroit,Michigan,USA
7th House,7 N. Saginaw Street,Pontiac,Michigan,USA
7th Street Entry,29 N. Seventh Street,Minneapolis,Minnesota,USA
88th Avenue Lounge,10200 Conant Street,Hamtramck,Michigan,USA
910 Huron,910 E. Huron Street,Ann Arbor,Michigan,USA
9:30 Club (1),930 F Street NW,Washington,District of Columbia,USA
9:30 Club (2),815 V Street NW,Washington,District of Columbia,USA
9th Street Hall,643 Ninth Street NW,Grand Rapids,Michigan,USA
9th Ward,298 Flinders Lane,Melbourne,Victoria,Australia
A&M Studios (LA),Sunset Boulevard,Los Angeles,California,USA
A&R Music Bar,391 Neil Avenue,Columbus,Ohio,USA
A&R Studios (NYC),322 W. 48th Street,NYC,New York,USA
A-Square Studio,3691 E. Morgan Road,Ann Arbor,Michigan,USA
A-Train,48705 Grand River Avenue,Novi,Michigan,USA
A.J. Palumbo Center,1304 Forbes Avenue,Pittsburgh,Pennsylvania,USA
A.J.'s Midtown,2915 Guadalupe Street,Austin,Texas,USA
AAMI Stadium,Turner Drive,Adelaide,South Australia,Australia
Aaron's Amphitheatre at Lakewood,2002 Lakewood Avenue SE,Atlanta,Georgia,USA
Abart's,,Washington,District of Columbia,USA
Abbey Pub,3420 W. Grace Street,Chicago,Illinois,USA
Abbotsford Centre,33800 King Road,Abbotsford,British Columbia,Canada
ABC Ardwick,Stockport Road,Manchester,Ardwick,England
ABC Cinema Chester,76 Foregate Street,Chester,Cheshire,England
ABC Cinema Luton,51 George Street,Luton,Bedfordshire,England
ABC Cinema Wigan,Station Road,Wigan,Greater Manchester,England
ABC Theatre Peterborough,,Peterborough,Cambridgeshire,England
Abdo's Lounge,3600 S. Logan Street,Lansing,Michigan,USA
Abigail's Saloon,327 E. Michigan Avenue,Ypsilanti,Michigan,USA
Aboriginal Percussion Center,16140 James Couzens,Detroit,Michigan,USA
ABQ Journal Pavilion,5601 University Boulevard SE,Albuquerque,New Mexico,USA
Abraham Lincoln Junior High School,19th & Grove,Wyandotte,Michigan,USA
Absolute Tiffany's,440 Clinton Street,Detroit,Michigan,USA
Abstention Coffee House,4901 Evergreen Road,Dearborn,Michigan,USA
Abstention Coffee House (OU),Oakland University,Rochester Hills,Michigan,USA
Academy Glasgow,121 Eglinton Street,Glasgow,,Scotland
Academy of Music (NYC),126 E. 14th Street,NYC,New York,USA
Academy of Music (Philly),240 S. Broad Street,Philadelphia,Pennsylvania,USA
Academy of the Sacred Heart,1250 Kensington Road,Bloomfield Hills,Michigan,USA
Ace Bar,3678 Hastings Street,Detroit,Michigan,USA
Acer Arena,Edwin Flack Ave & Olympic Blvd,Sydney,New South Wales,Australia
Acorn Theater,107 Generations Drive,Three Oaks,Michigan,USA
Act IV,2990 W. Grand Boulevard,Detroit,Michigan,USA
Action House,50 Broadway,Island Park,New York,USA
Ad Lib,323 W. Wells Street,Milwaukee,Wisconsin,USA
Adado Riverfront Park,333 N. Cedar Street,Lansing,Michigan,USA
Adam's Body Shop,520 W. Congress Street,Detroit,Michigan,USA
Adam's Corner,2145 Caniff Street,Hamtramck,Michigan,USA
Adams Avenue Theater,3325 Adams Avenue,San Diego,California,USA
Adams Field House,32 Campus Drive,Missoula,Montana,USA
Adelaide Oval,War Memorial Drive,Adelaide,South Australia,Australia
Adrian Inn,1575 W. Maumee Street,Adrian,Michigan,USA
AFB,18952 Woodward Avenue,Detroit,Michigan,USA
Aftershock Bar & Grill,5240 Merriam Drive,Merriam,Kansas,USA
Agape Caffe,Fifth Avenue,Royal Oak,Michigan,USA
Agave,4265 Woodward Avenue,Detroit,Michigan,USA
Agganis Arena,925 Commonwealth Avenue,Boston,Massachusetts,USA
Agora Ballroom - Atlanta,665 Peachtree Street NE,Atlanta,Georgia,USA
Agora Ballroom - Cleveland,1730 E. 24th Street,Cleveland,Ohio,USA
Agora Ballroom - Columbus,1722 N. High Street,Columbus,Ohio,USA
Agora Ballroom - Dallas,6532 E. Northwest Highway,Dallas,Texas,USA
Agora Ballroom - Hallandale,100 Ansin Boulevard,Hallandale Beach,Florida,USA
Agora Ballroom - Houston,5134 Richmond Avenue,Houston,Texas,USA
Agora Ballroom - New Haven,379 Whalley Avenue,New Haven,Connecticut,USA
Agora Ballroom - Tampa,201 E. Yukon Street,Tampa,Florida,USA
Agora Ballroom - West Hartford,165 Dexter Avenue,West Hartford,Connecticut,USA
Agora Theatre,5000 Euclid Avenue,Cleveland,Ohio,USA
Ahoy Rotterdam,Ahoy-weg 10,Rotterdam,South Holland,Netherlands
Aichi Bunka Kodo,,Nagoya,,Japan
Aichi Kōsei Nenkin Kaikan,2 Chome-63 Ikeshitacho,Nagoya,Chūbu,Japan
Air Canada Centre,40 Bay Street,Toronto,Ontario,Canada
Airborne Skate Park,28070 Hayes Road,Roseville,Michigan,USA
